thread_id,elapsed_time_micros,local_queue_depth,local_schedule_count,mean_poll_time_micros,noop_count,overflow_count,park_count,park_unpark_count,poll_count,steal_count,steal_operations,total_busy_duration_micros
9,3475139,5,22950,50,169,7,835,1670,22872,25468,3165,843997
10,3475139,22,22884,29,218,14,987,1974,22997,25907,3292,867018
11,3475139,24,22483,50,262,10,1005,2010,22995,24801,3141,819953
0,3680906,0,26765,27,190,12,862,1723,25783,27367,3425,920641
1,3680906,0,23202,43,219,13,1011,2021,22885,24993,3439,833955
2,3680906,0,25221,34,214,7,918,1835,25006,26781,3392,823155
3,3680906,0,24333,51,208,12,1037,2073,25868,29181,3579,967375
4,3680906,0,23637,27,224,13,983,1965,24339,27159,3362,930788
5,3680906,0,23592,24,301,12,1175,2349,26499,28494,3680,953883
6,3680906,0,26742,43,303,13,1030,2059,24982,27323,3502,924928
7,3680906,0,24964,28,411,18,1316,2631,24547,27334,3405,921859
8,3680906,0,25607,30,307,18,1128,2255,25087,27491,3680,925670
9,3680906,0,24781,30,178,7,902,1803,25432,28246,3477,947346
10,3680906,0,26780,30,238,14,1063,2125,26186,29393,3656,993512
11,3680906,0,26450,23,269,13,1074,2147,26171,27600,3454,934600
0,3881026,0,30441,54,198,20,915,1829,28896,30027,3711,1039467
1,3881026,1,27046,111,227,14,1072,2144,26059,27371,3720,955874
2,3881026,0,28891,24,222,8,983,1965,28409,29398,3680,951816
3,3881026,0,26658,52,210,12,1068,2135,27628,31057,3751,1052356
4,3881026,0,25490,23,227,13,1016,2031,26485,29569,3554,1011614
5,3881026,0,26376,23,306,15,1224,2447,29588,31797,3964,1068272
6,3881026,0,28643,469,316,15,1079,2157,27300,29538,3704,1019923
7,3881026,0,27858,24,417,19,1373,2745,27728,30392,3728,1040608
8,3881026,0,26809,64,322,18,1195,2390,27248,29935,3941,1028004
9,3881026,0,27703,24,186,9,950,1900,29104,31934,3824,1077634
10,3881026,0,30319,24,253,16,1137,2273,29177,32250,3943,1105881
11,3881026,0,29616,40,274,15,1115,2229,28919,30285,3715,1045740
0,4086115,28,34056,42,202,25,965,1930,32279,33026,4098,1153826
1,4086115,0,30779,212,232,14,1128,2256,29306,30907,4111,1086434
2,4086115,16,31500,28,226,8,1037,2074,31618,32661,4023,1079115
3,4086115,28,28354,49,214,12,1108,2216,29964,33789,4006,1170976
4,4086115,0,28220,48,233,13,1073,2146,29559,32693,3898,1130219
5,4086115,0,29621,33,309,16,1279,2557,32729,34970,4343,1175246
6,4086115,125,32030,23,334,17,1151,2302,30421,32978,4057,1155433
7,4086115,0,31099,37,426,20,1438,2875,30981,33631,4064,1181639
8,4086115,0,29116,41,326,20,1236,2471,30136,33247,4279,1132080
